Assembly	final.contigs
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	554
Total length	554
Reference length	1878735
GC (%)	49.46
Reference GC (%)	31.34
N50	554
N75	554
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	554
# N's per 100 kbp	0.00
NGA50	-
