Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	2.262
Aurantimonas_manganoxydans_SI85_9A1	1.250
Conexibacter_woesei_Iso977N	2.718
Desulfitibacter_alkalitolerans_DSM_16504	2.215
Desulfuromonas_thiophila	3.382
Fluviicola_taffensis_DSM_16823	3.371
Gracilibacteria_bacterium_JGI_0000069_P22	-
Ilumatobacter_coccineus_YM16_304	2.298
Magnetococcus_marinus_MC_1	2.225
Magnetospira_sp._QH_2	2.714
Marinomonas_communis	3.351
Methylobacter_sp._XLMV4	2.558
Mollicutes_bacterium_HR1	-
Neisseria_sp._CSL_7565	1.000
Nitrospina_gracilis	3.598
Nitrospina_sp._SCGC_AAA288_L16	2.809
Nocardioides_albus	3.062
Oceanicola_granulosus_HTCC2516	2.508
Owenweeksia_hongkongensis_DSM_17368	2.280
Paracoccus_aminophilus	2.195
Porticoccus_hydrocarbonoclasticus_MCTG13d	3.509
Pseudoruegeria_aquimaris	2.166
Shewanella_amazonensis_SB2B	2.436
Simiduia_sp._J_MY2	3.304
Sphingobium_fuliginis	3.553
Sulfitobacter_sp._NAS_14.1	2.137
Synechococcus_sp._KORDI_49	1.324
Syntrophus_aciditrophicus	4.870
Tenacibaculum_skagerrakense	1.680
Thioalkalivibrio_sp._ALJ17	3.536
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	3.536
Thiohalobacter_thiocyanaticus	3.043
Ulvibacter_litoralis	2.878
Xanthomonas_citri_subsp._malvacearum	2.609
alpha_proteobacterium_BAL199	2.814
endosymbiont_of_Ridgeia_piscesae	2.028
gamma_proteobacterium_SCGC_AB_629_P17	2.120
marine_gamma_proteobacterium_HTCC2080	2.036
marine_metagenome	2.882
mine_drainage_metagenome	-
