Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	1755
Aurantimonas_manganoxydans_SI85_9A1	480
Conexibacter_woesei_Iso977N	869
Desulfitibacter_alkalitolerans_DSM_16504	494
Desulfuromonas_thiophila	469
Fluviicola_taffensis_DSM_16823	2090
Gracilibacteria_bacterium_JGI_0000069_P22	-
Ilumatobacter_coccineus_YM16_304	9812
Magnetococcus_marinus_MC_1	400
Magnetospira_sp._QH_2	1420
Marinomonas_communis	2115
Methylobacter_sp._XLMV4	2969
Mollicutes_bacterium_HR1	-
Neisseria_sp._CSL_7565	96
Nitrospina_gracilis	3787
Nitrospina_sp._SCGC_AAA288_L16	3168
Nocardioides_albus	1602
Oceanicola_granulosus_HTCC2516	2619
Owenweeksia_hongkongensis_DSM_17368	2656
Paracoccus_aminophilus	1530
Porticoccus_hydrocarbonoclasticus_MCTG13d	932
Pseudoruegeria_aquimaris	3320
Shewanella_amazonensis_SB2B	362
Simiduia_sp._J_MY2	1551
Sphingobium_fuliginis	409
Sulfitobacter_sp._NAS_14.1	3931
Synechococcus_sp._KORDI_49	5752
Syntrophus_aciditrophicus	562
Tenacibaculum_skagerrakense	2322
Thioalkalivibrio_sp._ALJ17	2490
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	2490
Thiohalobacter_thiocyanaticus	3621
Ulvibacter_litoralis	4421
Xanthomonas_citri_subsp._malvacearum	368
alpha_proteobacterium_BAL199	1948
endosymbiont_of_Ridgeia_piscesae	5401
gamma_proteobacterium_SCGC_AB_629_P17	3376
marine_gamma_proteobacterium_HTCC2080	8319
marine_metagenome	219
mine_drainage_metagenome	-
