Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	15
Aurantimonas_manganoxydans_SI85_9A1	6
Conexibacter_woesei_Iso977N	16
Desulfitibacter_alkalitolerans_DSM_16504	6
Desulfuromonas_thiophila	7
Fluviicola_taffensis_DSM_16823	17
Gracilibacteria_bacterium_JGI_0000069_P22	1
Ilumatobacter_coccineus_YM16_304	54
Magnetococcus_marinus_MC_1	5
Magnetospira_sp._QH_2	12
Marinomonas_communis	14
Methylobacter_sp._XLMV4	19
Mollicutes_bacterium_HR1	1
Neisseria_sp._CSL_7565	1
Nitrospina_gracilis	27
Nitrospina_sp._SCGC_AAA288_L16	21
Nocardioides_albus	13
Oceanicola_granulosus_HTCC2516	18
Owenweeksia_hongkongensis_DSM_17368	20
Paracoccus_aminophilus	9
Porticoccus_hydrocarbonoclasticus_MCTG13d	9
Pseudoruegeria_aquimaris	21
Shewanella_amazonensis_SB2B	4
Simiduia_sp._J_MY2	12
Sphingobium_fuliginis	8
Sulfitobacter_sp._NAS_14.1	17
Synechococcus_sp._KORDI_49	11
Syntrophus_aciditrophicus	8
Tenacibaculum_skagerrakense	16
Thioalkalivibrio_sp._ALJ17	22
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	22
Thiohalobacter_thiocyanaticus	27
Ulvibacter_litoralis	28
Xanthomonas_citri_subsp._malvacearum	3
alpha_proteobacterium_BAL199	20
endosymbiont_of_Ridgeia_piscesae	31
gamma_proteobacterium_SCGC_AB_629_P17	14
marine_gamma_proteobacterium_HTCC2080	37
marine_metagenome	3
mine_drainage_metagenome	-
not_aligned	87723
