Module	Section	Sample Name	Source
Trimmomatic	all_sections	README.md	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/README.md
FastQC	all_sections	SRR4342129_1.paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/DNA_fastqc/SRR4342129_1.paired.trimmed_fastqc.zip
FastQC	all_sections	SRR4342129_2.paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/DNA_fastqc/SRR4342129_2.paired.trimmed_fastqc.zip
FastQC	all_sections	SRR4342133_1.paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/DNA_fastqc/SRR4342133_1.paired.trimmed_fastqc.zip
FastQC	all_sections	SRR4342133_2.paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/DNA_fastqc/SRR4342133_2.paired.trimmed_fastqc.zip
FastQC	all_sections	SRR4342137.1	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_untrim_fastqc/SRR4342137.1_fastqc.zip
FastQC	all_sections	SRR4342137.2	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_untrim_fastqc/SRR4342137.2_fastqc.zip
FastQC	all_sections	SRR4342139.1	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_untrim_fastqc/SRR4342139.1_fastqc.zip
FastQC	all_sections	SRR4342139.2	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_untrim_fastqc/SRR4342139.2_fastqc.zip
FastQC	all_sections	RNA_trim_37.left_paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_37.left_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_37.left_unpaired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_37.left_unpaired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_37.right_paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_37.right_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_37.right_unpaired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_37.right_unpaired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_39.left_paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_39.left_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_39.left_unpaired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_39.left_unpaired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_39.right_paired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_39.right_paired.trimmed_fastqc.zip
FastQC	all_sections	RNA_trim_39.right_unpaired	/domus/h1/andreak/Genome_Analysis/Genome-Analysis/data/FastQC/RNA_trim_fastqc/RNA_trim_39.right_unpaired.trimmed_fastqc.zip
