Assembly	final.contigs
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	36986
Total length (>= 5000 bp)	25130
Total length (>= 10000 bp)	25130
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	14321
Total length	39604
Reference length	4052370
GC (%)	41.74
Reference GC (%)	59.44
N50	10809
N75	2135
L50	2
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	2
# unaligned contigs	1 + 7 part
Unaligned length	36369
Genome fraction (%)	0.029
Duplication ratio	2.714
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3775.17
# indels per 100 kbp	0.00
Largest alignment	371
Total aligned length	1420
NGA50	-
