Assembly	final.contigs
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	54546
Total length (>= 5000 bp)	15341
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	54
Largest contig	8698
Total length	76363
Reference length	4830181
GC (%)	61.73
Reference GC (%)	67.29
N50	1501
N75	936
L50	11
L75	26
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	3
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	7
# unaligned contigs	8 + 27 part
Unaligned length	59374
Genome fraction (%)	0.153
Duplication ratio	2.298
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4274.31
# indels per 100 kbp	135.26
Largest alignment	1497
Total aligned length	9812
NGA50	-
