Assembly	final.contigs
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	14119
Total length (>= 5000 bp)	5869
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	17
Largest contig	5869
Total length	21480
Reference length	4633577
GC (%)	45.23
Reference GC (%)	36.49
N50	2207
N75	671
L50	3
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	1
# unaligned contigs	3 + 7 part
Unaligned length	16424
Genome fraction (%)	0.032
Duplication ratio	3.371
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4533.33
# indels per 100 kbp	66.67
Largest alignment	495
Total aligned length	2090
NGA50	-
