Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	146.52
Aurantimonas_manganoxydans_SI85_9A1	0.00
Conexibacter_woesei_Iso977N	0.00
Desulfitibacter_alkalitolerans_DSM_16504	0.00
Desulfuromonas_thiophila	0.00
Fluviicola_taffensis_DSM_16823	66.67
Gracilibacteria_bacterium_JGI_0000069_P22	-
Ilumatobacter_coccineus_YM16_304	135.26
Magnetococcus_marinus_MC_1	0.00
Magnetospira_sp._QH_2	0.00
Marinomonas_communis	150.60
Methylobacter_sp._XLMV4	0.00
Mollicutes_bacterium_HR1	-
Neisseria_sp._CSL_7565	0.00
Nitrospina_gracilis	0.00
Nitrospina_sp._SCGC_AAA288_L16	539.22
Nocardioides_albus	176.37
Oceanicola_granulosus_HTCC2516	79.43
Owenweeksia_hongkongensis_DSM_17368	54.17
Paracoccus_aminophilus	0.00
Porticoccus_hydrocarbonoclasticus_MCTG13d	0.00
Pseudoruegeria_aquimaris	0.00
Shewanella_amazonensis_SB2B	0.00
Simiduia_sp._J_MY2	90.33
Sphingobium_fuliginis	0.00
Sulfitobacter_sp._NAS_14.1	112.45
Synechococcus_sp._KORDI_49	129.20
Syntrophus_aciditrophicus	259.74
Tenacibaculum_skagerrakense	48.22
Thioalkalivibrio_sp._ALJ17	145.84
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	145.84
Thiohalobacter_thiocyanaticus	82.85
Ulvibacter_litoralis	79.30
Xanthomonas_citri_subsp._malvacearum	0.00
alpha_proteobacterium_BAL199	0.00
endosymbiont_of_Ridgeia_piscesae	241.61
gamma_proteobacterium_SCGC_AB_629_P17	0.00
marine_gamma_proteobacterium_HTCC2080	135.56
marine_metagenome	0.00
mine_drainage_metagenome	-
